Shift: 15
petirtn 0 4 1 2 6 5 3
petnitr 0 4 1 3 2 5 6
petnirt 0 4 1 3 2 6 5
petntir 0 4 1 3 5 2 6
petntri 0 4 1 3 5 6 2
petnrit 0 4 1 3 6 2 5
petnrti 0 4 1 3 6 5 2
pettinr 0 4 1 5 2 3 6
pettirn 0 4 1 5 2 6 3
pettnir 0 4 1 5 3 2 6
pettnri 0 4 1 5 3 6 2
pettrin 0 4 1 5 6 2 3
pettrni 0 4 1 5 6 3 2
petrint 0 4 1 6 2 3 5
petritn 0 4 1 6 2 5 3
petrnit 0 4 1 6 3 2 5
petrnti 0 4 1 6 3 5 2
petrtin 0 4 1 6 5 2 3
petrtni 0 4 1 6 5 3 2
peitntr 0 4 2 1 3 5 6
peitnrt 0 4 2 1 3 6 5
peittnr 0 4 2 1 5 3 6
peittrn 0 4 2 1 5 6 3
peitrnt 0 4 2 1 6 3 5
peitrtn 0 4 2 1 6 5 3
peinttr 0 4 2 3 1 5 6
peintrt 0 4 2 3 1 6 5
peinttr 0 4 2 3 5 1 6
peintrt 0 4 2 3 5 6 1
peinrtt 0 4 2 3 6 1 5
peinrtt 0 4 2 3 6 5 1
peittnr 0 4 2 5 1 3 6
peittrn 0 4 2 5 1 6 3
peitntr 0 4 2 5 3 1 6
peitnrt 0 4 2 5 3 6 1
peitrtn 0 4 2 5 6 1 3
peitrnt 0 4 2 5 6 3 1
peirtnt 0 4 2 6 1 3 5
peirttn 0 4 2 6 1 5 3
peirntt 0 4 2 6 3 1 5
peirntt 0 4 2 6 3 5 1
peirttn 0 4 2 6 5 1 3
peirtnt 0 4 2 6 5 3 1
pentitr 0 4 3 1 2 5 6
pentirt 0 4 3 1 2 6 5
penttir 0 4 3 1 5 2 6
penttri 0 4 3 1 5 6 2
pentrit 0 4 3 1 6 2 5
pentrti 0 4 3 1 6 5 2
penittr 0 4 3 2 1 5 6
penitrt 0 4 3 2 1 6 5
penittr 0 4 3 2 5 1 6
penitrt 0 4 3 2 5 6 1
penirtt 0 4 3 2 6 1 5
penirtt 0 4 3 2 6 5 1
penttir 0 4 3 5 1 2 6
penttri 0 4 3 5 1 6 2
pentitr 0 4 3 5 2 1 6
pentirt 0 4 3 5 2 6 1
pentrti 0 4 3 5 6 1 2
pentrit 0 4 3 5 6 2 1
penrtit 0 4 3 6 1 2 5
penrtti 0 4 3 6 1 5 2
penritt 0 4 3 6 2 1 5
penritt 0 4 3 6 2 5 1
penrtti 0 4 3 6 5 1 2
penrtit 0 4 3 6 5 2 1
pettinr 0 4 5 1 2 3 6
pettirn 0 4 5 1 2 6 3
pettnir 0 4 5 1 3 2 6
pettnri 0 4 5 1 3 6 2
pettrin 0 4 5 1 6 2 3
pettrni 0 4 5 1 6 3 2
petitnr 0 4 5 2 1 3 6
petitrn 0 4 5 2 1 6 3
petintr 0 4 5 2 3 1 6
petinrt 0 4 5 2 3 6 1
petirtn 0 4 5 2 6 1 3
petirnt 0 4 5 2 6 3 1
petntir 0 4 5 3 1 2 6
petntri 0 4 5 3 1 6 2
petnitr 0 4 5 3 2 1 6
petnirt 0 4 5 3 2 6 1
petnrti 0 4 5 3 6 1 2
petnrit 0 4 5 3 6 2 1
petrtin 0 4 5 6 1 2 3
petrtni 0 4 5 6 1 3 2
petritn 0 4 5 6 2 1 3
petrint 0 4 5 6 2 3 1
petrnti 0 4 5 6 3 1 2
petrnit 0 4 5 6 3 2 1
pertint 0 4 6 1 2 3 5
pertitn 0 4 6 1 2 5 3
pertnit 0 4 6 1 3 2 5
pertnti 0 4 6 1 3 5 2
perttin 0 4 6 1 5 2 3
perttni 0 4 6 1 5 3 2
peritnt 0 4 6 2 1 3 5
perittn 0 4 6 2 1 5 3
perintt 0 4 6 2 3 1 5
perintt 0 4 6 2 3 5 1
perittn 0 4 6 2 5 1 3
peritnt 0 4 6 2 5 3 1
perntit 0 4 6 3 1 2 5
perntti 0 4 6 3 1 5 2
pernitt 0 4 6 3 2 1 5
pernitt 0 4 6 3 2 5 1
perntti 0 4 6 3 5 1 2
perntit 0 4 6 3 5 2 1
perttin 0 4 6 5 1 2 3
perttni 0 4 6 5 1 3 2
pertitn 0 4 6 5 2 1 3
pertint 0 4 6 5 2 3 1
pertnti 0 4 6 5 3 1 2
pertnit 0 4 6 5 3 2 1
pttiner 0 5 1 2 3 4 6
pttinre 0 5 1 2 3 6 4
pttienr 0 5 1 2 4 3 6
pttiern 0 5 1 2 4 6 3
pttirne 0 5 1 2 6 3 4
pttiren 0 5 1 2 6 4 3
pttnier 0 5 1 3 2 4 6
pttnire 0 5 1 3 2 6 4
pttneir 0 5 1 3 4 2 6
pttneri 0 5 1 3 4 6 2
pttnrie 0 5 1 3 6 2 4
pttnrei 0 5 1 3 6 4 2
ptteinr 0 5 1 4 2 3 6
ptteirn 0 5 1 4 2 6 3
pttenir 0 5 1 4 3 2 6
pttenri 0 5 1 4 3 6 2
ptterin 0 5 1 4 6 2 3
ptterni 0 5 1 4 6 3 2
pttrine 0 5 1 6 2 3 4
pttrien 0 5 1 6 2 4 3
pttrnie 0 5 1 6 3 2 4
pttrnei 0 5 1 6 3 4 2
pttrein 0 5 1 6 4 2 3
pttreni 0 5 1 6 4 3 2
ptitner 0 5 2 1 3 4 6
ptitnre 0 5 2 1 3 6 4
ptitenr 0 5 2 1 4 3 6
ptitern 0 5 2 1 4 6 3
ptitrne 0 5 2 1 6 3 4
ptitren 0 5 2 1 6 4 3
ptinter 0 5 2 3 1 4 6
ptintre 0 5 2 3 1 6 4
ptinetr 0 5 2 3 4 1 6
ptinert 0 5 2 3 4 6 1
ptinrte 0 5 2 3 6 1 4
ptinret 0 5 2 3 6 4 1
ptietnr 0 5 2 4 1 3 6
